source	target	DATE_FROM	DATE_TO	MS_ID	PLACE_ID	MS_REF
10102	18633	0	0	SP_84/63_f.49	0	SP 84/63 f.49
10407	24658	0	0	spo2_imcc-v003-p000_imcc-v003-p000-m0234-cm	3481	SP 63/25 f.55
10575	28163	0	0	Harley_7002_f.241	0	Harley 7002 f.241
10903	20638	0	0	Harley_7002_f.75	0	Harley 7002 f.75
10955	31585	0	0	SP_84/63_f.12	0	SP 84/63 f.12
11450	28530	0	0	Harley_6999_f.194	0	Harley 6999 f.194
11450	28530	0	0	Harley_6999_f.211	661	Harley 6999 f.211
11450	28530	0	0	Harley_6999_f.51	0	Harley 6999 f.51
11450	28530	0	0	Harley_6999_f.65	661	Harley 6999 f.65
11450	37233	0	0	Harley_291_f.7	0	Harley 291 f.7
11604	28530	0	0	Harley_6999_f.30	5212	Harley 6999 f.30
11604	30478	0	0	Harley_6994_f.124	2346	Harley 6994 f.124
11628	2268	0	0	Harley_291_f.46	0	Harley 291 f.46
11630	28530	0	0	Harley_1582_f.114	0	Harley 1582 f.114
11844	22855	0	0	Harley_296_f.136	0	Harley 296 f.136
11844	23020	0	0	spo2_har1-v001-p000_har1-v001-p000-m06649-cm	0	
11844	30246	0	0	spo2_har1-v001-p000_har1-v001-p000-m04863-cm	0	
12722	1173	0	0	SP_94/8_f.165	0	SP 94/8 f.165
13321	17774	0	0	SP_63/98_f.42	7523	SP 63/98 f.42
13393	3979	0	0	Harley_7002_f.16	0	Harley 7002 f.16
1348	10511	0	0	Harley_296_f.46	0	Harley 296 f.46
13729	21125	0	0	SP_84/55_f.291	0	SP 84/55 f.291
13795	28776	0	0	Harley_6993_f.22	935	Harley 6993 f.22
13898	26382	0	0	spo2_eger-v000-p000_eger-1693-m00001x043-cm	0	Egerton 1693
15583	3979	0	0	Harley_7002_f.25	0	Harley 7002 f.25
15877	29809	0	0	spo2_sp094_sp094-004-m00174-cm	0	SP 94/4 f.273
15931	29276	0	0	Harley_7002_f.252	4623	Harley 7002 f.252
1653	35310	0	0	Harley_290_f.242	0	Harley 290 f.242
16801	17448	0	0	spo2_har1-v001-p000_har1-v001-p000-m06650-cm	0	
16801	26415	0	0	spo2_har1-v001-p000_har1-v001-p000-m06650-cm	0	
16801	30056	0	0	spo2_har1-v001-p000_har1-v001-p000-m06650-cm	0	
17755	28530	0	0	Harley_291_f.11	0	Harley 291 f.11
17857	30478	0	0	Harley_6994_f.162	0	Harley 6994 f.162
19430	26529	0	0	SP_84/60_f.396	0	SP 84/60 f.396
19581	24658	0	0	SP_84/63_f.16	0	SP 84/63 f.16
19699	20461	0	0	Harley_1582_f.311	0	Harley 1582 f.311
19699	37909	0	0	Harley_290_f.90	0	Harley 290 f.90
19699	37909	0	0	Harley_290_f.91	0	Harley 290 f.91
19699	37909	0	0	Harley_290_f.92	0	Harley 290 f.92
19699	37909	0	0	Harley_290_f.93	1753	Harley 290 f.93
19699	37909	0	0	Harley_290_f.94	7700	Harley 290 f.94
19699	37909	0	0	Harley_290_f.95	0	Harley 290 f.95
19908	36733	0	0	Harley_6990_f.97	4153	Harley 6990 f.97
20634	22073	0	0	Harley_7002_f.411	0	Harley 7002 f.411
23053	24658	0	0	spo2_har1-v001-p000_har1-v001-p000-m02683-cm	0	
23729	28530	0	0	Harley_1582_f.104	0	Harley 1582 f.104
23883	24658	0	0	SP_91/1_f.249	0	SP 91/1 f.249
24284	28530	0	0	Harley_260_f.3	0	Harley 260 f.3
